business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
74922,Le Marais Bakery,2066 Chestnut St,San Francisco,CA,94123,,,,,74922_20160430,4/30/16 0:00,82,Routine - Unscheduled,74922_20160430_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
86358,Tartine Manufactory,595 Alabama St,San Francisco,CA,94110,,,,14155482600,86358_20160418,4/18/16 0:00,,New Construction,,,
64380,Michael Mina Restaurant,252 California St,San Francisco,CA,94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,64380_20160414,4/14/16 0:00,86,Routine - Unscheduled,64380_20160414_103154,Unclean or degraded floors walls or ceilings,Low Risk
67176,The Melt,1 Embarcadero Center,San Francisco,CA,94111,37.794588,-122.399642,"(37.794588, -122.399642)",,67176_20160414,4/14/16 0:00,100,Routine - Unscheduled,,,
69762,Chili House Inc.,726 Clement St,San Francisco,CA,94118,,,,,69762_20160413,4/13/16 0:00,68,Routine - Unscheduled,69762_20160413_103133,Foods not protected from contamination,Moderate Risk
4960,Three Star Restaurant,2515 Noriega St,San Francisco,CA,94122,37.753583,-122.490839,"(37.753583, -122.490839)",,4960_20160413,4/13/16 0:00,71,Routine - Unscheduled,4960_20160413_103154,Unclean or degraded floors walls or ceilings,Low Risk
66534,Midway Grill (Snack Shop),99 Harding Park Road,San Francisco,CA,94103,37.723698,-122.495289,"(37.723698, -122.495289)",,66534_20160413,4/13/16 0:00,87,Routine - Unscheduled,66534_20160413_103120,Moderate risk food holding temperature,Moderate Risk
33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20160412,4/12/16 0:00,90,Routine - Unscheduled,33700_20160412_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
3522,Bow Hon Restaurant,850 Grant Ave,San Francisco,CA,94108,37.794958,-122.406367,"(37.794958, -122.406367)",,3522_20160412,4/12/16 0:00,92,Routine - Unscheduled,3522_20160412_103120,Moderate risk food holding temperature,Moderate Risk
68963,West of Pecos,550 Valencia St,San Francisco,CA,94110,37.764087,-122.421881,"(37.764087, -122.421881)",14155257000,68963_20160412,4/12/16 0:00,,Reinspection/Followup,,,
58673,New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,37.796973,-122.408504,"(37.796973, -122.408504)",,58673_20160412,4/12/16 0:00,71,Routine - Unscheduled,58673_20160412_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
3594,CELIAS RESTAURANT,4019 JUDAH St,San Francisco,CA,94122,37.760423,-122.505209,"(37.760423, -122.505209)",,3594_20160330,3/30/16 0:00,88,Routine - Unscheduled,3594_20160330_103133,Foods not protected from contamination,Moderate Risk
76437,Sweetheart Cafe,909 Grant Ave,San Francisco,CA,94108,,,,,76437_20160329,3/29/16 0:00,76,Routine - Unscheduled,76437_20160329_103113,Sewage or wastewater contamination,High Risk
81161,Limon Peruvian Rotisserie,1001 South Van Ness Ave,San Francisco,CA,94110,,,,14155548833,81161_20160325,3/25/16 0:00,92,Routine - Unscheduled,81161_20160325_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
2716,RED A BAKERY,634 CLEMENT St,San Francisco,CA,94118,37.782888,-122.466101,"(37.782888, -122.466101)",,2716_20160323,3/23/16 0:00,57,Routine - Unscheduled,2716_20160323_103131,Moderate risk vermin infestation,Moderate Risk
85781,Domino's #7764,876 Geary St,San Francisco,CA,94109,,,,,85781_20160311,3/11/16 0:00,86,Routine - Unscheduled,85781_20160311_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
82880,Don Pablo,Off The Grid,San Francisco,CA,,,,,,82880_20160309,3/9/16 0:00,,Structural Inspection,82880_20160309_103148,No thermometers or uncalibrated thermometers,Low Risk
81134,Carmelina's Taqueria,500 Parnassus Ave,San Francisco,CA,94143,,,,14155501121,81134_20160127,1/27/16 0:00,,Reinspection/Followup,81134_20160127_103131,Moderate risk vermin infestation,Moderate Risk
38929,Jelly Donut,3198 24th St,San Francisco,CA,94110,37.752439,-122.41625,"(37.752439, -122.41625)",,38929_20160114,1/14/16 0:00,88,Routine - Unscheduled,38929_20160114_103139,Improper food storage,Low Risk
6348,Castro Street Chevron,2399 Market St,San Francisco,CA,94114,37.762857,-122.434755,"(37.762857, -122.434755)",14155622570,6348_20151224,12/24/15 0:00,100,Routine - Unscheduled,,,
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/15 0:00,92,Routine - Unscheduled,61_20150827_103133,Foods not protected from contamination,Moderate Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/15 0:00,92,Routine - Unscheduled,61_20150827_103142,Unclean nonfood contact surfaces,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/15 0:00,92,Routine - Unscheduled,61_20150827_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/15 0:00,92,Routine - Unscheduled,61_20150827_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,No Violations
